panel,representation,model,protocol,seed,sample_id,sample_type,representation_split,umap_x,umap_y,silhouette_original,knn5_purity_original,status,budget_pct,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0538,Conflict,official_test,7.970186710357666,3.7626748085021973,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0540,Conflict,official_test,-0.4590596854686737,8.425642013549805,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0541,Conflict,official_test,-0.3980889320373535,8.444626808166504,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0551,Conflict,official_test,0.7286487221717834,9.730653762817383,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0554,Conflict,official_test,0.7974744439125061,9.55311393737793,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0558,Conflict,official_test,-0.4655592739582062,7.895917892456055,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0566,Conflict,official_test,-0.7003718614578247,7.895837783813477,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0568,Conflict,official_test,0.011454381980001926,7.978743076324463,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0570,Conflict,official_test,0.2511999309062958,8.066130638122559,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0571,Conflict,official_test,0.14096951484680176,7.873554229736328,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0573,Conflict,official_test,0.33691638708114624,8.08200454711914,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0576,Conflict,official_test,0.05210944265127182,7.949711322784424,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0582,Conflict,official_test,8.05334758758545,3.6211049556732178,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0593,Conflict,official_test,8.114577293395996,3.604118585586548,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0598,Conflict,official_test,-0.45664873719215393,8.412040710449219,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0605,Conflict,official_test,-0.4091104567050934,8.461639404296875,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0611,Conflict,official_test,-0.41614165902137756,8.491009712219238,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0616,Conflict,official_test,-0.1270197629928589,8.230335235595703,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0623,Conflict,official_test,0.30091241002082825,8.16510009765625,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0632,Conflict,official_test,0.35202327370643616,8.293268203735352,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0636,Conflict,official_test,1.1984062194824219,6.999295234680176,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0637,Conflict,official_test,0.5106143951416016,7.922852516174316,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0656,Conflict,official_test,-0.46818822622299194,8.448990821838379,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0658,Conflict,official_test,-0.42830079793930054,8.312395095825195,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0661,Conflict,official_test,-0.3385692238807678,8.262331008911133,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0666,Conflict,official_test,-0.5579003095626831,8.246711730957031,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0667,Conflict,official_test,-0.27923810482025146,8.157853126525879,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0677,Conflict,official_test,0.2403959184885025,9.58413028717041,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0689,Conflict,official_test,0.6541548371315002,10.14306354522705,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0711,Conflict,official_test,7.859100341796875,1.848752498626709,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0712,Conflict,official_test,0.9361516833305359,8.450690269470215,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0721,Conflict,official_test,6.833441734313965,1.4995404481887817,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0735,Conflict,official_test,0.9081648588180542,9.403360366821289,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0748,Conflict,official_test,8.989495277404785,2.8501486778259277,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0751,Conflict,official_test,9.038761138916016,2.6954469680786133,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0755,Conflict,official_test,9.119236946105957,2.863034248352051,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0762,Conflict,official_test,9.06020450592041,2.949842691421509,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0788,Conflict,official_test,9.118531227111816,2.5692787170410156,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0796,Conflict,official_test,8.57948112487793,2.390502452850342,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0805,Conflict,official_test,8.55999755859375,2.3423993587493896,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0808,Conflict,official_test,8.699275016784668,2.310655355453491,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0014,Aligned,official_test,7.465816020965576,1.8108060359954834,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0016,Aligned,official_test,7.173711776733398,1.5753477811813354,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0017,Aligned,official_test,7.430952072143555,1.8237051963806152,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_c_svt:S0022,Aligned,official_test,7.064852237701416,1.6224706172943115,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
