sample_id,model,sample_type,S,D,R,stable,direction_emphasized,lean
gen:accept_c_svt:S0608,internvl3_5_8b,Aligned,0.0018124581790476104,17.44361086365375,-0.4203053438353232,true,true,T/A
gen:accept_c_svt:S0609,internvl3_5_8b,Aligned,0.0011062043867397008,12.664220433979862,-0.9726407363932756,true,true,T/A
gen:accept_c_svt:S0610,internvl3_5_8b,Aligned,0.0014347980469336275,6.717561015452452,-0.7802555736219328,true,false,T/A
gen:accept_c_svt:S0617,internvl3_5_8b,Aligned,0.00237124336324351,8.40248071407693,-0.9791195684708834,true,false,T/A
gen:accept_c_svt:S0620,internvl3_5_8b,Aligned,0.004062021504611422,16.32287460918917,-0.4788011323798069,true,true,T/A
gen:accept_c_svt:S0621,internvl3_5_8b,Aligned,0.002449126143997399,6.8815642449625765,-0.9368484502318107,true,false,T/A
gen:accept_c_svt:S0627,internvl3_5_8b,Aligned,0.0015556789832483389,10.669457084201007,-0.9776263327391055,true,false,T/A
gen:accept_c_svt:S0638,internvl3_5_8b,Aligned,0.001847614797009826,9.705620010223551,-0.954452745646444,true,false,T/A
gen:accept_c_svt:S0641,internvl3_5_8b,Aligned,0.0023733758864633247,6.68119431239201,-0.8846256823056307,true,false,T/A
gen:accept_c_svt:S0647,internvl3_5_8b,Aligned,0.002156808697945103,10.915147734286668,-0.7523826974264103,true,false,T/A
gen:accept_c_svt:S0652,internvl3_5_8b,Aligned,0.004876079587454202,9.306980686391329,-0.6991440899806306,true,false,T/A
gen:accept_c_svt:S0655,internvl3_5_8b,Aligned,0.009065562882673855,11.56501596206342,-0.4935484537322014,true,false,T/A
gen:accept_c_svt:S0660,internvl3_5_8b,Aligned,0.009666155686538948,10.058803843374937,-0.686573269031048,true,false,T/A
gen:accept_c_svt:S0663,internvl3_5_8b,Aligned,0.007987245014104591,10.5452859867925,-0.8342300955389536,true,false,T/A
gen:accept_c_svt:S0665,internvl3_5_8b,Aligned,0.007312256760686986,8.713711924938988,-0.16995503659085906,true,false,T/A
gen:accept_c_svt:S0680,internvl3_5_8b,Aligned,0.004987002559743777,9.278404612156134,-0.7544848175315308,true,false,T/A
gen:accept_c_svt:S0681,internvl3_5_8b,Aligned,0.009751873021111915,8.02535092732529,-0.7617742031033505,true,false,T/A
gen:accept_c_svt:S0682,internvl3_5_8b,Aligned,0.005340392175971637,8.742246206598187,-0.5536564415479651,true,false,T/A
gen:accept_c_svt:S0692,internvl3_5_8b,Aligned,0.007723840499461639,8.525941142021288,-0.9874303048698089,true,false,T/A
gen:accept_c_svt:S0708,internvl3_5_8b,Aligned,0.006819676407348751,7.178017315750094,-0.9110534336692288,true,false,T/A
gen:accept_c_svt:S0727,internvl3_5_8b,Aligned,0.006681456571334113,12.93071487064157,-0.579666106863059,true,true,T/A
gen:accept_c_svt:S0730,internvl3_5_8b,Aligned,0.007615027891903606,9.087878407036104,-0.8291106813850493,true,false,T/A
gen:accept_c_svt:S0742,internvl3_5_8b,Aligned,0.0063204944900603355,8.543136948098198,-0.7888962560452233,true,false,T/A
gen:accept_c_svt:S0745,internvl3_5_8b,Aligned,0.006766289849573588,8.17615064184093,-0.885676618599794,true,false,T/A
gen:accept_c_svt:S0751,internvl3_5_8b,Aligned,0.010503271086644938,15.825103298512673,-0.5346535553140328,true,true,T/A
gen:accept_c_svt:S0756,internvl3_5_8b,Aligned,0.0038054713830905904,16.154224482003286,-0.991116232689365,true,true,T/A
gen:accept_c_svt:S0762,internvl3_5_8b,Aligned,0.0034786352152721763,7.737605957661402,-0.76187443594876,true,false,T/A
gen:accept_c_svt:S0764,internvl3_5_8b,Aligned,0.004133844996444412,13.47115384691006,-0.6259655812057197,true,true,T/A
gen:accept_c_svt:S0785,internvl3_5_8b,Aligned,0.00869929643098561,8.201495600017275,0.2950129849183532,true,false,V
gen:accept_c_svt:S0794,internvl3_5_8b,Aligned,0.005052499037596657,12.342154926236976,0.3727428438902101,true,false,V
gen:accept_c_svt:S0801,internvl3_5_8b,Aligned,0.0057028485616626885,8.156235612541288,-0.7882282324792003,true,false,T/A
gen:accept_c_svt:S0810,internvl3_5_8b,Aligned,0.005391965408134667,18.175992674383526,-0.4363352488938463,true,true,T/A
gen:accept_c_svt:S0818,internvl3_5_8b,Aligned,0.0046067202819662844,17.494825601528035,-0.4876562732581783,true,true,T/A
gen:accept_c_svt:S0832,internvl3_5_8b,Aligned,0.004654664374390587,8.806179748135138,-0.7603608061053754,true,false,T/A
gen:accept_c_svt:S0841,internvl3_5_8b,Aligned,0.009764040216270054,8.738104540934328,-0.6748286964943186,true,false,T/A
gen:accept_c_svt:S0853,internvl3_5_8b,Aligned,0.0023563786522334588,10.477352335148737,-0.9172924412719567,true,false,T/A
gen:accept_c_svt:S0859,internvl3_5_8b,Aligned,0.002378538581112562,10.770559320519364,-0.8404365735745479,true,false,T/A
gen:accept_c_svt:S0863,internvl3_5_8b,Aligned,0.003575702432466937,8.740445670698069,-0.38274789928231795,true,false,T/A
gen:accept_c_svt:S0865,internvl3_5_8b,Aligned,0.004074397484521628,7.646348772678307,-0.9119464405629832,true,false,T/A
gen:accept_c_svt:S0874,internvl3_5_8b,Aligned,0.0026582622996933667,9.81781623465622,-0.43471142550989844,true,false,T/A
gen:accept_c_svt:S0881,internvl3_5_8b,Aligned,0.0022081561519622654,8.255787502058647,-0.9371654826650497,true,false,T/A
gen:accept_c_svt:S0891,internvl3_5_8b,Aligned,0.0012588277635924216,7.320032385795817,-0.8142680269495458,true,false,T/A
gen:accept_c_svt:S0896,internvl3_5_8b,Aligned,0.002942566112494996,6.7028008349377615,-0.9161829540705111,true,false,T/A
gen:accept_c_svt:S0900,internvl3_5_8b,Aligned,0.0028646670286305346,10.344227393600958,-0.9747260887489693,true,false,T/A
gen:accept_c_svt:S0906,internvl3_5_8b,Aligned,0.005565034311622894,4.639809281205496,-0.5745135764831516,true,false,T/A
gen:accept_c_svt:S0927,internvl3_5_8b,Aligned,0.002303330968936491,6.868815265840328,-0.8720556638428091,true,false,T/A
gen:accept_c_svt:S0938,internvl3_5_8b,Aligned,0.009843676212752386,6.472779270526462,-0.3095868815924864,true,false,T/A
gen:accept_c_svt:S0951,internvl3_5_8b,Aligned,0.003642185576483726,8.848130208541342,-0.02005482395859091,true,false,T/A
gen:accept_c_svt:S0957,internvl3_5_8b,Aligned,0.0029804771211035166,7.402586530239578,-0.5711910167013057,true,false,T/A
